Sl. No.,State,Facility No.,Facility Name/ Licensee,NJEMS PI/ Dep No./ID,Waste Type,Phone,Location,Municipality,City,Pincode,Owner/ Owner Type,Hours,Features,Latitude,Longitude,,,,,,,,,,,,,,,
,,118,"CROOKER CONSTRUCTION, LLC",S-020552-WK- A-P,<Plastic & Other>,(207) 729-5511,PO BOX 5001 TOPSHAM,,TOPSHAM,4086,,,,43.9814,-69.9378,,,,,,,,,,,,,,,
,,119,"CROOKER CONSTRUCTION, LLC",S-020552-WK- C-P,<Plastic & Other>,(207) 729-3332,PO BOX 5001 TOPSHAM,,TOPSHAM,4086,,,,43.9814,-69.9378,,,,,,,,,,,,,,,
,,120,GRIMMEL INDUSTRIES,S-020915-WK- B-N,<Plastic & Other>,(207) 784-6754,80 PEJEPSCOT VIL M TOPSHAM,,TOPSHAM,4086,,,,43.9814,-69.9378,,,,,,,,,,,,,,,
,,121,"CROOKER CONSTRUCTION, LLC",S-022469-WK- A-P,<Plastic & Other>,(207) 729-3332,103 LEWISTON ROAD POB #5001,,TOPSHAM,,,,,0,0,,,,,,,,,,,,,,,
,,122,DOUG GOTT & SONS INC,S-022267-WK- B-P,<Plastic & Other>,(207) 244-7461,110 BASS HARBOR RD SOUTHWEST HARBOR,,TREMONT,4679,,,,44.2823,-68.3265,,,,,,,,,,,,,,,
,,123,GORDON LIBBY INC,S-022193-WK- A-P,<Plastic & Other>,(207) 832-6313,PO BOX 849 WALDOBORO,,WALDOBORO,4572,,,,44.1046,-69.3745,,,,,,,,,,,,,,,
,,124,SODERBERG COMPANY INC,S-022313-WK- A-P,<Plastic & Other>,(207) 498-6300,460 YORK ST CARIBOU,,WASHBURN,4736,,,,46.8706,-68.0204,,,,,,,,,,,,,,,
,,125,PIKE INDUSTRIES,S-022449-WK- A-P,<Plastic & Other>,(207) 854-2561,ATTN: SANDY BURBANK BELMONT,,WASHINGTON,3220,,,,43.4512,-71.489,,,,,,,,,,,,,,,
,,126,FOGLIO INC.,S-022145-WK- B-P,<Plastic & Other>,(020) 724-7441,P.O. BOX 308 WATERBORO,,WATERBORO,4087,,,,43.5661,-70.7431,,,,,,,,,,,,,,,
,,127,"FOGLIO, INC.",S-022145-WK- A-P,<Plastic & Other>,(207) 247-6910,PO BOX 308 WATERBORO,,WATERBORO,4087,,,,43.5661,-70.7431,,,,,,,,,,,,,,,
,,128,"DEARBORN BROTHERS CONSTRUCTION,INC.",S-022221-WK- A-P,<Plastic & Other>,(207) 929-8812,999 NARRAGANSETT TRAIL BUXTON,,WATERBORO,4093,,,,43.6379,-70.5189,,,,,,,,,,,,,,,
,,129,BREX CORP,S-022116-WK- A-P,<Plastic & Other>,(207) 985-4447,258 MAGUIRE RD KENNEBUNK,,WELLS,4043,,,,43.3881,-70.5478,,,,,,,,,,,,,,,
,,130,PINE TREE WASTE INC,S-022316-WK- A-N,<Plastic & Other>,(207) 286-1668,110 MAIN ST SUITE 1308 SACO,,WEST BATH,4072,,,,43.5209,-70.4546,,,,,,,,,,,,,,,
,,131,SHAW BROTHERS CONST. INC.,S-022450-WK- A-P,<Plastic & Other>,(207) 839-2552,P.O. BOX 69 GORHAM,,WESTBROOK,4038,,,,43.6843,-70.468,,,,,,,,,,,,,,,
,,132,"CROOKER CONSTRUCTION, LLC",S-020552-WK- D-P,<Plastic & Other>,(207) 729-3332,PO BOX 5001 TOPSHAM,,WHITEFIELD,4086,,,,43.9814,-69.9378,,,,,,,,,,,,,,,
,,133,COUSINEAU INC,S-020610-WK- A-P,<Plastic & Other>,(207) 645-4448,845 US ROUTE 2 EAST WILTON,,WILTON,4294,,,,44.5928,-70.2281,,,,,,,,,,,,,,,
,,134,CR TANDBERG INC.,S-021969-WK- A-P,<Plastic & Other>,(207) 892-4124,PO BOX 381 WINDHAM,,WINDHAM,4062,,,,43.7958,-70.4143,,,,,,,,,,,,,,,
,,135,RJ GRONDIN & SONS,S-022227-WK- A-P,<Plastic & Other>,(207) 854-1147,11 BARTLETT RD GORHAM,,WINDHAM,4038,,,,43.6843,-70.468,,,,,,,,,,,,,,,
,,136,"S.B. FREEPORT, INC.",S-022491-WK- A-P,<Plastic & Other>,(207) 839-2552,P.O. BOX 69 GORHAM,,WINDHAM,4038,,,,43.6843,-70.468,,,,,,,,,,,,,,,
,,137,"LES WILSON & SONS, INC",S-022547-WK- A-P,<Plastic & Other>,(207) 854-4583,PO BOX 1028 WESTBROOK,,WINDHAM,4098,,,,43.677,-70.3712,,,,,,,,,,,,,,,
,,138,HAGAR ENTERPRISES,S-022492-WK- A-P,<Plastic & Other>,(207) 563-8588,54 BISCAY RD DAMARISCOTTA,,WINDSOR,4543,,,,44.0293,-69.5042,,,,,,,,,,,,,,,
,,139,MSR RECYCLING LLC,S-022302-WK- A-N,<Plastic & Other>,(207) 877-8985,88 VERTI DR WINSLOW,,WINSLOW,4901,,,,44.5543,-69.6178,,,,,,,,,,,,,,,
3,Maryland,1,Western Maryland PF&TS,2019-WPT-0632,<Plastic & Other>,,"13810 Hazmat Drive, Cumberland",,ALLEGANY,21502,PRI,,,39.5992,-78.8444,,,,,,,,,,,,,,,
,,2,Curtis Creek PF & TS,2018-WPT-0539,<Plastic & Other>,,"23 Stahl Point Road, Baltimore",,ANNE ARUNDEL,21226,PRI,,,39.2109,-76.5597,,,,,,,,,,,,,,,
,,3,Annapolis Junction PF & TS,2021-WPT-0158,<Plastic & Other>,,"8077 Brock Bridge Road, Jessup",,ANNE ARUNDEL,20794,PRI,,,39.1484,-76.7922,,,,,,,,,,,,,,,
,,4,"Biomedical Waste Services, Inc.",2016-WPT-0676,<Plastic & Other>,,"7610 Energy Pkwy, Curtis Bay",,ANNE ARUNDEL,21226,PRI,,,39.2109,-76.5597,,,,,,,,,,,,,,,
,,5,Baltimore Processing & Transfer Center,2019-WPT-0627,<Plastic & Other>,,"5800 Chemical Road, Baltimore",,BALTIMORE CITY,21226,PRI,,,39.2109,-76.5597,,,,,,,,,,,,,,,
,,6,Baltimore Recyling Center PF&TS,2019-WPT-0690,<Plastic & Other>,,"1030 Edison Highway, Baltimore",,BALTIMORE CITY,21213,PRI,,,39.3127,-76.581,,,,,,,,,,,,,,,
,,7,Daniels Sharpsmart PF&TS,2019-WPT-0633,<Plastic & Other>,,"6611 Chandlery Street, Baltimore",,BALTIMORE CITY,21224,PRI,,,39.2876,-76.5568,,,,,,,,,,,,,,,
,,8,L & J Processing Facility,2016-WPF-0634,<Plastic & Other>,,"222 North Calverton Road, Baltimore",,BALTIMORE CITY,21223,PRI,,,39.287,-76.6476,,,,,,,,,,,,,,,
,,9,Stericycle Medical Waste PF&TS,2016-WPT-0677,<Plastic & Other>,,"5901 Chemical Road, Baltimore",,BALTIMORE CITY,21226,PRI,,,39.2109,-76.5597,,,,,,,,,,,,,,,
,,10,Central Acceptance Facility,2017-WPT-0657,<Plastic & Other>,,"10275 Beaver Dam Road, Cockeysville",,BALTIMORE,21030,CTY,,,39.4919,-76.6677,,,,,,,,,,,,,,,
,,11,"Recovermat Mid-Atlantic, LLC PF",2021-WPF-0341,<Plastic & Other>,,"2202 Halethorpe Farm Road, Halethorpe",,BALTIMORE,21227,PRI,,,39.2309,-76.6969,,,,,,,,,,,,,,,
,,12,Southern Md. Recycling and PF,2020-WPF-0597,<Plastic & Other>,,"7659 Binnacle Lane, Owings",,CALVERT,20736,PRI,,,38.6955,-76.6061,,,,,,,,,,,,,,,
,,13,Northern Landfill PF&TS,2019-WPT-0541,<Plastic & Other>,,"1400 Baltimore Blvd., Westminster",,CARROLL,21157,CTY,,,39.5642,-76.9807,,,,,,,,,,,,,,,
,,14,Roll-Off Express PF,2013-WPT-0664,<Plastic & Other>,,"2900 Dede Road, Finksburg",,CARROLL,21048,PRI,,,39.4991,-76.9101,,,,,,,,,,,,,,,
,,15,Site B Solid Waste PF&TS,2021-WPT-0604,<Plastic & Other>,,"9031 Reichs Ford Road, Frederick",,FREDERICK,21704,CTY,,,39.3455,-77.3832,,,,,,,,,,,,,,,
,,16,Auston PF&TS,2017-WPT-0616,<Plastic & Other>,,"1202 Pauls Lane, Joppa",,HARFORD,21085,PRI,,,39.4242,-76.3541,,,,,,,,,,,,,,,
,,17,Alpha Ridge PF&TS,2017-WPT-0578,<Plastic & Other>,,"2350 Marriottsville Road, Marriottsville",,HOWARD,21104,CTY,,,39.3342,-76.9132,,,,,,,,,,,,,,,
,,18,Ameriwaste PF&TS,2016-WPT-0572,<Plastic & Other>,,"7150 Kit Kat Road, Elkridge",,HOWARD,21075,PRI,,,39.2058,-76.7531,,,,,,,,,,,,,,,
,,19,C & D Recovery PF,2019-WPF-0581,<Plastic & Other>,,"24120 Frederick Road, Clarksburg",,MONTGOMERY,20871,PRI,,,39.2387,-77.2794,,,,,,,,,,,,,,,
,,20,Shady Grove PF&TS,2016-WPT-0617,<Plastic & Other>,,"16101 Frederick Road, Derwood",,MONTGOMERY,20855,CTY,,,39.1345,-77.1477,,,,,,,,,,,,,,,
,,21,Dower House PF,2020-WPF-0563,<Plastic & Other>,,"5900 Dower House Road, Upper Marlboro",,PRINCE GEORGE'S,20772,PRI,,,38.8377,-76.798,,,,,,,,,,,,,,,
,,22,Recycle One PF&TS,2019-WPT-0647,<Plastic & Other>,,"4700 Lawrence Street, Hyattville",,PRINCE GEORGE'S,20781,PRI,,,38.9506,-76.9347,,,,,,,,,,,,,,,
,,23,Sheriff Road PF&TS,2018-WPT-0218,<Plastic & Other>,,"5800 Sheriff Road, Fairmont Heights",,PRINCE GEORGE'S,20743,PRI,,,38.8897,-76.8925,,,,,,,,,,,,,,,
,,24,Sun Services PF,2021-WPF-0639,<Plastic & Other>,,"11210 Somerset Avenue, Beltsville",,PRINCE GEORGE'S,20705,PRI,,,39.0455,-76.9242,,,,,,,,,,,,,,,
,,25,St. Mary's Co. MSW PF&TS,2019-WPT-0624,<Plastic & Other>,,"44825 St. Andrews Church Road, California",,ST. MARY'S,20619,CTY,,,38.3006,-76.5312,,,,,,,,,,,,,,,
,,26,Bennett Processing Facility,2016-WPF-0658,<Plastic & Other>,,"513-515 South Camden Ave., Fruitland",,WICOMICO,21826,PRI,,,38.3225,-75.6228,,,,,,,,,,,,,,,
,,27,Connelly Mill PF & TS,2015-WPT-0675,<Plastic & Other>,,"29790 Connelly Mill Road, Delmar",,WICOMICO,21875,PRI,,,38.4445,-75.5583,,,,,,,,,,,,,,,
4,Pennsylvania,1,CONSTRUCTION DEMOLITION RECYCLING,482869,<Plastic & Other>,,1040 CHURCHVILLE RD,Upper Southampton,SOUTHAMPTON,18966-4702,,,,40.1868,-75.0071,,,,,,,,,,,,,,,
,,2,WASTE MANAGEMENT OF INDIAN VALLEY,481784,<Plastic & Other>,,400 PROGRESS DR,Hilltown,TELFORD,18969-1191,,,,40.3205,-75.352,,,,,,,,,,,,,,,
,,3,CHAMPION RECCYLING INC MW OPERATION,548753,<Plastic & Other>,,575 TRESTLE PLACE,Downingtown,DOWNINGTOWN,19335,,,,40.0161,-75.7183,,,,,,,,,,,,,,,
,,4,ELDREDGE MW OPERATION,517845,<Plastic & Other>,,898 FERNHILL RD,West Goshen,WEST CHESTER,19380-4202,,,,39.9845,-75.5962,,,,,,,,,,,,,,,
,,5,DELAWARE COUNTY TRANSFER STATION #3,482346,<Plastic & Other>,,SUSSEX BLVD & MARPIT DR,Marple,BROOMALL,19008,,,,39.9747,-75.3602,,,,,,,,,,,,,,,
,,6,WASTE MGMT OF DEL VALLEY S MW OPERATION,633223,<Plastic & Other>,,408 S OAK AVE,Upper Darby,PRIMOS,19018-2736,,,,39.9218,-75.2876,,,,,,,,,,,,,,,
,,7,ABINGTON TWP TRANSF STA,482963,<Plastic & Other>,,995 FITZWATERTOWN RD,Upper Dublin,ABINGTON,19001,,,,40.1238,-75.1148,,,,,,,,,,,,,,,
,,8,BFI RIVER RD TRANSF STA,469707,<Plastic & Other>,,400 RIVER RD,Upper Merion,WEST CONSHOHOCKEN,19428-2600,,,,40.0825,-75.3044,,,,,,,,,,,,,,,
,,9,CONSHOHOCKEN RECYCLING & RAIL TRANSFER LLC,511029,<Plastic & Other>,,1060 CONSHOHOCKEN RD,Plymouth,CONSHOHOCKEN,19428,,,,40.0825,-75.3044,,,,,,,,,,,,,,,
,,10,GREAT VALLEY RECYCLING TRANSF STA,482404,<Plastic & Other>,,315 W 6TH ST,Bridgeport,BRIDGEPORT,19405-1129,,,,40.103,-75.3402,,,,,,,,,,,,,,,
,,11,L & S DEMO MW OPERATION,516095,<Plastic & Other>,,884 BROOK RD,Plymouth,CONSHOHOCKEN,19428,,,,40.0825,-75.3044,,,,,,,,,,,,,,,
,,12,LOWER MERION TWP TRANSFER STATION,481908,<Plastic & Other>,,1300 N WOODBINE AVE,Lower Merion,PENN VALLEY,19072-1241,,,,40.0177,-75.2594,,,,,,,,,,,,,,,
,,13,"MASCARO JP, & SONS INC.",294355,<Plastic & Other>,,109 WILE RD,Franconia,SOUDERTON,18964-2325,,,,40.2884,-75.341,,,,,,,,,,,,,,,
,,14,WM OF PA INC NORRISTOWN TRANSF STA,481720,<Plastic & Other>,,310 W WASHINGTON ST,Norristown,NORRISTOWN,19401-4623,,,,40.1245,-75.3304,,,,,,,,,,,,,,,
,,15,58TH STREET TRANSFER STATION,483498,<Plastic & Other>,,2209 S 58TH ST,Philadelphia,PHILADELPHIA,19143-5935,,,,39.9448,-75.2288,,,,,,,,,,,,,,,
,,16,AMER C&D LOGISTICS,716195,<Plastic & Other>,,3604 SOUTH PENROSE FERRY AVENUE,Philadelphia,PHILADELPHIA,19145,,,,39.9227,-75.1812,,,,,,,,,,,,,,,
,,17,"BURNS,RICHARD S. & COMPANY",482434,<Plastic & Other>,,4300 RISING SUN AVE,Philadelphia,PHILADELPHIA,19140-2720,,,,40.0118,-75.1456,,,,,,,,,,,,,,,
,,18,CITY OF PHILA/STREETS DEPT/NW TRANSF,483453,<Plastic & Other>,,5201 UMBRIA STREET,Philadelphia,PHILADELPHIA,19128,,,,40.0402,-75.2231,,,,,,,,,,,,,,,
,,19,FORGE INC,277705,<Plastic & Other>,,5245 BLEIGH AVE,Philadelphia,PHILADELPHIA,19136-4225,,,,40.0422,-75.0244,,,,,,,,,,,,,,,
,,20,GIRARD POINT TRANSF STATION,544388,<Plastic & Other>,,3600 SOUTH 26TH ST,Philadelphia,PHILADELPHIA,19145,,,,39.9227,-75.1812,,,,,,,,,,,,,,,
,,21,PHILA TRANSF & RECYCLING FAC,512634,<Plastic & Other>,,3605 GREYS FERRY AVE,Philadelphia,PHILADELPHIA,19146,,,,39.9379,-75.1794,,,,,,,,,,,,,,,
,,22,"QUICK-WAY,INC.",482039,<Plastic & Other>,,2960 ORTHODOX ST,Philadelphia,PHILA,19137,,,,40.0008,-75.0727,,,,,,,,,,,,,,,
,,23,"TRC, INC.",294707,<Plastic & Other>,,2904 S DELAWARE AVE,Philadelphia,PHILADELPHIA,19148-5106,,,,39.9207,-75.1595,,,,,,,,,,,,,,,
,,24,"UNITED STATES RECYCLING,INC.",483677,<Plastic & Other>,,6101 TACONY ST,Philadelphia,PHILADELPHIA,19135-2998,,,,40.0247,-75.0518,,,,,,,,,,,,,,,
,,25,HINKLE HAULING TRANSF STA,240707,<Plastic & Other>,,1725 BROOKSIDE RD,Lower Macungie,MACUNGIE,18062,,,,40.5285,-75.5666,,,,,,,,,,,,,,,
,,26,LEHIGH VALLEY RECYCLING INC,240686,<Plastic & Other>,,3947 PORTLAND ST,North Whitehall,COPLAY,18037,,,,40.6701,-75.4955,,,,,,,,,,,,,,,
,,27,WASTE MGMT ALLENTOWN TRANSF STA,493579,<Plastic & Other>,,2710 GOLDEN KEY RD,Weisenberg,KUTZTOWN,19530,,,,40.5214,-75.7774,,,,,,,,,,,,,,,
,,28,CHAPIN SEW DSPL,242384,<Plastic & Other>,,114 BRITTNEY LAYNE,New Columbus,HUNTINGTON MILLS,18622,,,,41.1906,-76.2335,,,,,,,,,,,,,,,
,,29,WASTE REDUCTION & RECYCLING CTR,240194,<Plastic & Other>,,2100 SANS SOUCI PKWY,Wilkes-Barre,WILKES BARRE,18702,,,,41.2208,-75.7736,,,,,,,,,,,,,,,
,,30,EAST PENN TRANSF STA,494295,<Plastic & Other>,,4687 HANOVERVILLE RD,Lower Nazareth,BETHLEHEM,18017,,,,40.6622,-75.3903,,,,,,,,,,,,,,,
,,31,MCAULIFFES RECYCLING PLT,239082,<Plastic & Other>,,2690 HOWERTOWN ROAD,Lehigh,NORTHAMPTON,18067,,,,40.6998,-75.4874,,,,,,,,,,,,,,,
,,32,TAMAQUA TRANSF & RECYCLING CO,239408,<Plastic & Other>,,244 E BROAD ST,Tamaqua,TAMAQUA,18252-2057,,,,40.7983,-75.9735,,,,,,,,,,,,,,,
,,33,BEACH LAKE TRANSF STA,250644,<Plastic & Other>,,ROSENCRANSE RD,Berlin,BEACH LAKE,18405,,,,41.6034,-75.1165,,,,,,,,,,,,,,,
,,34,BERKS TRANSFER INC,551876,<Plastic & Other>,,1420 CLARION ST,Ontelaunee,READING,19601,,,,40.3466,-75.9351,,,,,,,,,,,,,,,
,,35,BERKYS TRANSF & SITE CONTAINER SVC,293270,<Plastic & Other>,,15 BREEZY PARK DR,Ruscombmanor,FLEETWOOD,19522,,,,40.4473,-75.8185,,,,,,,,,,,,,,,
,,36,CLIFFORD HILL SANITATION SVC,243903,<Plastic & Other>,,780 NOBLE ST,Maxatawny,KUTZTOWN,19530-9801,,,,40.5214,-75.7774,,,,,,,,,,,,,,,
,,37,BLAIR COUNTY RESOURCE RECOVERY FACILITY INC,513857,<Plastic & Other>,,RR 1 BOX 938 A,Logan,ALTOONA,16601,,,,40.5209,-78.4089,,,,,,,,,,,,,,,
,,38,SOUTHERN ALLEGHENIES DISPOSAL SVC.,292043,<Plastic & Other>,,E 6 AVE RD,Logan,ALTOONA,16601,,,,40.5209,-78.4089,,,,,,,,,,,,,,,
,,39,DILLER TRANSFER STATION,290480,<Plastic & Other>,,6820 WERTZVILLE RD,Hampden,ENOLA,17025-1032,,,,40.2922,-76.9432,,,,,,,,,,,,,,,
,,40,WASTE MGMT. OF PA INC.TRANSFER STA.,469455,<Plastic & Other>,,4300 INDUSTRIAL PARK RD,Hampden,CAMP HILL,17011-5717,,,,40.2352,-76.9291,,,,,,,,,,,,,,,
,,41,REPUBLIC SERVICES HIGHSPIRE TRANSFER STATION,725814,<Plastic & Other>,,205 INDUSTRIAL ROAD,Highspire,HIGHSPIRE,17034,,,,40.2083,-76.7853,,,,,,,,,,,,,,,
,,42,WASHINGTON TOWNSHIP TRANSFER STATION,291979,<Plastic & Other>,,13013 WELTY RD,Washington,WAYNESBORO,17268,,,,39.7635,-77.5674,,,,,,,,,,,,,,,
,,43,PARKS TRANSFER STATION,560560,<Plastic & Other>,,PO BOX 218,Shirley,MOUNT UNION,17066,,,,40.3901,-77.8637,,,,,,,,,,,,,,,
,,44,CHESAPEAKE WASTE SOLUTIONS INC TRANSFER FACILITY,739433,<Plastic & Other>,,190 SHELLYLAND RD,Rapho,MANHEIM,17545,,,,40.1702,-76.4168,,,,,,,,,,,,,,,
,,45,LCSWMA TRANSF STA,255066,<Plastic & Other>,,PO BOX 4742,Manheim,LANCASTER,17604-4742,,,,40.0651,-76.3356,,,,,,,,,,,,,,,
,,46,NOLTS SVC CTR,649527,<Plastic & Other>,,728 RETTEW MILL RD,Ephrata,LITITZ,17543,,,,40.1846,-76.3015,,,,,,,,,,,,,,,
,,47,MIFFLIN CNTY SWA BARNER TRANSFER STATION,541743,<Plastic & Other>,,US RTE 522 NORTH,Derry,LEWISTOWN,17044-0390,,,,40.5994,-77.5756,,,,,,,,,,,,,,,
,,48,HANOVER AREA TRANSFER STATION,293285,<Plastic & Other>,,23 BARNHARDT DRIVE,Penn,HANOVER,17331,,,,39.7943,-76.9812,,,,,,,,,,,,,,,
,,49,DALE SUMMIT TRANSF STA,273893,<Plastic & Other>,,253 TRANSFER RD.,College,BELLEFONTE,16823-9801,,,,40.8978,-77.7732,,,,,,,,,,,,,,,
,,50,MILLVILLE TRANSFER STATION,495062,<Plastic & Other>,,RR 1 BOX 208,Madison,MILLVILLE,17846-9762,,,,41.1261,-76.5208,,,,,,,,,,,,,,,
,,51,LYCOMING CNTY TRANSF STA,239903,<Plastic & Other>,,1475 W 3RD ST,Williamsport,WILLIAMSPORT,17701-6536,,,,41.2412,-77.0011,,,,,,,,,,,,,,,
,,52,COAL TWP TRANSF STA,246890,<Plastic & Other>,,RR3 BOX 4,Coal,COAL TOWNSHIP,17866,,,,40.7917,-76.5519,,,,,,,,,,,,,,,
,,53,PA WASTE TRANSFER STA,742164,<Plastic & Other>,,RR 3 BOX 1,Coal,COAL TOWNSHIP,17866,,,,40.7917,-76.5519,,,,,,,,,,,,,,,
,,54,SUNBURY TRANSF STA,6304,<Plastic & Other>,,FAWN LN,Sunbury,SUNBURY,17801-3413,,,,40.8551,-76.7776,,,,,,,,,,,,,,,
,,55,POTTER CNTY TRANSF STA,244069,<Plastic & Other>,,2504 SR 49 WEST,Ulysses,ULYSSES,16948-0234,,,,41.8459,-77.7126,,,,,,,,,,,,,,,
,,56,TIADAGHTON AREA TS,240424,<Plastic & Other>,,200 TIOGA ST,Delmar,WELLSBORO,16901-0162,,,,41.7373,-77.308,,,,,,,,,,,,,,,
,,57,TIOGA CNTY TRANSF STA,240366,<Plastic & Other>,,PO BOX 34,Hamilton,BLOSSBURG,16912-0034,,,,41.6698,-77.0797,,,,,,,,,,,,,,,
,,58,ABC EZ MOVING CO INC,567218,<Plastic & Other>,,1000 ISLAND AVE,McKees Rocks,MCKEES ROCKS,15136-2563,,,,40.4717,-80.0876,,,,,,,,,,,,,,,
,,59,BOYD ROLL OFF SVC INC,567218,<Plastic & Other>,,1200 MCKEE ST,Stowe,MCKEES ROCKS,15136-2570,,,,40.4717,-80.0876,,,,,,,,,,,,,,,
,,60,GENESIS AUTOCLAVE MWO,493252,<Plastic & Other>,,"INDUSTRIAL CTR OF MCKEESPORT, PANEL 3-1",McKeesport,MCKEESPORT,15132,,,,40.3478,-79.8642,,,,,,,,,,,,,,,
,,61,MICHAEL BROS HAULING INC,743947,<Plastic & Other>,,5331 MCANULTY RD,Baldwin,PITTSBURGH,15236-2532,,,,40.3351,-79.9832,,,,,,,,,,,,,,,
,,62,PENN WASTE SYS INC,570546,<Plastic & Other>,,149 NICHOL AVE,Stowe,STOWE TOWNSHIP,15136,,,,40.4717,-80.0876,,,,,,,,,,,,,,,
,,63,AMBRIDGE TRANSFER STATION (FRMLY STEEL VALLEY REC CTR),243289,<Plastic & Other>,,E 22ND ST & OAK ALY,Ambridge,AMBRIDGE,15003,,,,40.6005,-80.2105,,,,,,,,,,,,,,,
,,64,VALLEY WASTE SVC INC,696104,<Plastic & Other>,,WALLACE RUN RD,Chippewa,BEAVER FALLS,15010,,,,40.7687,-80.3592,,,,,,,,,,,,,,,
,,65,WEAVERTOWN TRANSFER STA MWO,68,<Plastic & Other>,,3866 MILLERS RUN RD,Canonsburg,MCDONALD,15057-2858,,,,40.3697,-80.2562,,,,,,,,,,,,,,,
,,66,LATROBE TRANSFER MWO,256640,<Plastic & Other>,,MISSION RD,Latrobe,LATROBE,15650,,,,40.2926,-79.4103,,,,,,,,,,,,,,,
,,67,SENECA LANDFILL TRANSFER STA,4207,<Plastic & Other>,,421 HARTMANN ROAD,Jackson,EVANS CITY,16033,,,,40.7808,-80.0592,,,,,,,,,,,,,,,
,,68,CLARION CNTY TRANSF STA,692323,<Plastic & Other>,,18380 PAINT BLVD,Paint,SHIPPENVILLE,16254,,,,41.2475,-79.4332,,,,,,,,,,,,,,,
,,69,MEADVILLE REDI MIX TRANSF STA,675346,<Plastic & Other>,,19824 COCHRANTON RD,West Mead,MEADVILLE,16335,,,,41.6338,-80.1488,,,,,,,,,,,,,,,
,,70,GREATER ERIE TRANSFER & RECYCLING,245156,<Plastic & Other>,,1154 W 16TH ST,Erie,ERIE,16502-1501,,,,42.1133,-80.0976,,,,,,,,,,,,,,,
,,71,TRI CNTY TRANSF STA,491138,<Plastic & Other>,,156 LDFL RD,Pine,GROVE CITY,16214,,,,41.2123,-79.3773,,,,,,,,,,,,,,,
,,72,WASTE MGMT OF GREENVILLE,240787,<Plastic & Other>,,88 OHL ST PO BOX 609,Greenville,GREENVILLE,16125-0609,,,,41.4057,-80.3739,,,,,,,,,,,,,,,
,,73,WARREN CNTY TRANSFER STATION,140,<Plastic & Other>,,32870 ROUTE 6,Pittsfield,PITTSFIELD,16340-9801,,,,41.8366,-79.4196,,,,,,,,,,,,,,,
5,New Jersey,1,Atlantic County Utilities Authority,143393,<Plastic & Other>,(609) 272-6950,Delilah Rd.,,Egg Harbor Twp.,08234,,,,39.3741,-74.6118,,,,,,,,,,,,,,,
,,2,"Miele Sanitation Co., Inc.",131858,<Plastic & Other>,(201) 768-5407,60 Railroad Ave.,,Closter,07624,,,,40.9721,-73.959,,,,,,,,,,,,,,,
,,3,WMNJI (Fairview),131871,<Plastic & Other>,(855) 389-8047,61 Broad Avenue,,Fairview,07022,,,,40.817,-74,,,,,,,,,,,,,,,
,,4,"I.W.S. Transfer System of NJ, Inc.",131873,<Plastic & Other>,(973) 340-0431,19-35 Atlantic St.,,Garfield,07026,,,,40.8789,-74.1081,,,,,,,,,,,,,,,
,,5,"National Transfer, Inc.",131883,<Plastic & Other>,(973) 778-4764,445 N Main St.,,Lodi,07644,,,,40.8764,-74.0838,,,,,,,,,,,,,,,
,,6,"RSNJ, LLC-Mt. Laurel",133508,<Plastic & Other>,(856) 234-4000,Springdale & Church Roads,,Mt. Laurel,08054,,,,39.9478,-74.9036,,,,,,,,,,,,,,,
,,7,Cape May Co. MUA (Middle Twp.),133526,<Plastic & Other>,(609) 465-9026,Shunpike Road,,Cape May Ct. House,08210,,,,39.1378,-74.7806,,,,,,,,,,,,,,,
,,8,"Advanced Enterprises Recycling, Inc.",213296,<Plastic & Other>,(973) 344-5067,540 Doremus Ave.,,Newark,07105,,,,40.7271,-74.1563,,,,,,,,,,,,,,,
,,9,"Advanced Enterprises Recycling, Inc. (Intermodal Containers ONLY)",238466,<Plastic & Other>,(973) 344-5067,540 Doremus  Ave.,,Newark,07105,,,,40.7271,-74.1563,,,,,,,,,,,,,,,
,,10,Evergreen Recycling Solutions,501232,<Plastic & Other>,(973) 242-3030,110 Evergreen Ave.,,Newark,07114-1125,,,,40.7082,-74.1891,,,,,,,,,,,,,,,
,,11,EPIC (Intermodal Containers ONLY),132144,<Plastic & Other>,(973) 601-9212,Brills Yard/Wilson Ave.,,Newark,07105,,,,40.7271,-74.1563,,,,,,,,,,,,,,,
,,12,"Lemcor, Inc.",132133,<Plastic & Other>,(973) 642-1212,170 Frelinghuysen Ave.,,Newark,07114,,,,40.7082,-74.1891,,,,,,,,,,,,,,,
,,13,IWS Transfer Systems of NJ.,195492,<Plastic & Other>,(201) 830-3269,375 Routes 1 & 9 South,,Jersey City,07306,,,,40.7321,-74.066,,,,,,,,,,,,,,,
,,14,Lincoln Recycling,132246,<Plastic & Other>,(201) 974-2962,4711 Dell Ave.,,No. Bergen,07047,,,,40.7939,-74.0258,,,,,,,,,,,,,,,
,,15,Allegro Sanitation Corp.,132250,<Plastic & Other>,(201) 863-1063,278 Secaucus Road,,Secaucus,07094,,,,40.791,-74.0634,,,,,,,,,,,,,,,
,,16,Hunterdon County Util. Authority,132254,<Plastic & Other>,(908) 788-1351,Petticoat Lane,,Flemington,08822,,,,40.518,-74.8453,,,,,,,,,,,,,,,
,,17,Mercer County Improv. Auth.,133577,<Plastic & Other>,(609) 278-8100,N. Olden Ave.,,Trenton,08650,,,,40.2805,-74.712,,,,,,,,,,,,,,,
